SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
NA,NA,NA,357,159923,"SHARK,MAKO UNC",ISURUS
NA,NA,NA,467,172421,"TUNA,BLUEFIN",THUNNUS THYNNUS
NA,NA,NA,87,168609,CREVALLE,CARANX HIPPOS
NA,NA,NA,469,172428,"TUNA,BIGEYE",THUNNUS OBESUS
NA,NA,NA,795,079619,"SCALLOP,ICELANDIC SEA",CHLAMYS ISLANDICA
NA,NA,NA,471,172423,"TUNA,YELLOWFIN",THUNNUS ALBACARES
NA,NA,NA,899,914155,"SHELLFISH,OTHER",PROTOSTOMIA
NA,NA,NA,3,168688,AMBERJACK,SERIOLA
NA,NA,NA,353,159916,"SHARK,THRESHER",ALOPIAS VULPINUS 
NA,NA,NA,764,079118,"CLAM,UNC",BIVALVIA
NA,NA,NA,468,172402,"TUNA,LITTLE (TUNNY)",EUTHYNNUS ALLETTERATUS
NA,NA,NA,700,098696,"CRABS,BLUE",CALLINECTES SAPIDUS
NA,NA,NA,66,163995,CATFISHES (FRESHWATER),ICTALURIDAE 
NA,NA,NA,792,079885,"OYSTER,EUROPEAN FLAT",OSTREA EDULIS
NA,NA,NA,63,163344,CARP,CYPRINUS CARPIO
NA,NA,NA,423,163892,SUCKERS,CATOSTOMIDAE
NA,NA,NA,777,074071,"WHELK,KNOBBED",BUSYCON CARICA
NA,NA,NA,760,081022,"CLAM,RAZOR,ATLANTIC",ENSIS DIRECTUS
NA,NA,NA,786,082590,OCTOPUS,OCTOPODIDAE
NA,NA,NA,776,074096,"WHELK,CHANNELED",BUSYCOTYPUS CANALICULATUS
NA,NA,NA,817,010685,"SEAWEED,UNC",PHAEOPHYTA
NA,NA,NA,134,161737,"SHAD,GIZZARD",DOROSOMA CEPEDIANUM
NA,NA,NA,815,173752,"TURTLES,SNAPPING",CHELYDRA SERPENTINA
NA,NA,NA,106,169288,"DRUM,BLACK",POGONIAS CROMIS
